Filename,Filesize
occupied_20250223_131750_4.ply,103708
occupied_20250223_131829_43.ply,139738
occupied_20250223_131816_30.ply,129208
occupied_20250223_131751_5.ply,104158
occupied_20250223_131802_16.ply,116098
occupied_20250223_131845_59.ply,110473
occupied_20250223_131932_106.ply,133138
occupied_20250223_131931_105.ply,132238
occupied_20250223_131853_67.ply,142243
occupied_20250223_131812_26.ply,120988
occupied_20250223_131755_9.ply,103843
occupied_20250223_131752_6.ply,102523
occupied_20250223_131856_70.ply,111283
occupied_20250223_131928_102.ply,106768
occupied_20250223_131913_87.ply,116713
occupied_20250223_131852_66.ply,134098
occupied_20250223_131910_84.ply,109093
occupied_20250223_131909_83.ply,104803
occupied_20250223_131916_90.ply,102388
occupied_20250223_131839_53.ply,111838
occupied_20250223_131905_79.ply,142483
occupied_20250223_131919_93.ply,145153
occupied_20250223_131747_1.ply,89548
occupied_20250223_131840_54.ply,131563
occupied_20250223_131947_121.ply,106873
occupied_20250223_131828_42.ply,134098
occupied_20250223_131900_74.ply,115003
occupied_20250223_131836_50.ply,124633
occupied_20250223_131920_94.ply,133828
occupied_20250223_131858_72.ply,110488
occupied_20250223_131842_56.ply,125608
occupied_20250223_131837_51.ply,126073
occupied_20250223_131930_104.ply,139258
occupied_20250223_131934_108.ply,116143
occupied_20250223_131918_92.ply,143638
occupied_20250223_131915_89.ply,110893
occupied_20250223_131825_39.ply,117418
occupied_20250223_131843_57.ply,118408
occupied_20250223_131830_44.ply,129403
occupied_20250223_131854_68.ply,135388
occupied_20250223_131758_12.ply,99493
occupied_20250223_131946_120.ply,120403
occupied_20250223_131833_47.ply,106528
occupied_20250223_131933_107.ply,126208
occupied_20250223_131822_36.ply,98938
occupied_20250223_131811_25.ply,120358
occupied_20250223_131941_115.ply,105268
occupied_20250223_131924_98.ply,109678
occupied_20250223_131844_58.ply,106183
occupied_20250223_131935_109.ply,110653
occupied_20250223_131912_86.ply,107428
occupied_20250223_131757_11.ply,78433
occupied_20250223_131926_100.ply,113668
occupied_20250223_131820_34.ply,111868
occupied_20250223_131753_7.ply,107803
occupied_20250223_131937_111.ply,113443
occupied_20250223_131806_20.ply,106438
occupied_20250223_131922_96.ply,111508
occupied_20250223_131942_116.ply,138493
occupied_20250223_131813_27.ply,102703
occupied_20250223_131821_35.ply,106708
occupied_20250223_131848_62.ply,93493
occupied_20250223_131906_80.ply,139888
occupied_20250223_131841_55.ply,106678
occupied_20250223_131759_13.ply,111463
occupied_20250223_131929_103.ply,115453
occupied_20250223_131818_32.ply,115663
occupied_20250223_131855_69.ply,139078
occupied_20250223_131940_114.ply,123478
occupied_20250223_131921_95.ply,124888
occupied_20250223_131815_29.ply,127018
occupied_20250223_131923_97.ply,100918
occupied_20250223_131748_2.ply,101833
occupied_20250223_131945_119.ply,137473
occupied_20250223_131901_75.ply,133558
occupied_20250223_131808_22.ply,103873
occupied_20250223_131859_73.ply,116293
occupied_20250223_131800_14.ply,106138
occupied_20250223_131810_24.ply,109633
occupied_20250223_131832_46.ply,105883
occupied_20250223_131925_99.ply,96883
occupied_20250223_131801_15.ply,91783
occupied_20250223_131827_41.ply,135523
occupied_20250223_131824_38.ply,115333
occupied_20250223_131927_101.ply,116908
occupied_20250223_131817_31.ply,127318
occupied_20250223_131805_19.ply,115918
occupied_20250223_131902_76.ply,125083
occupied_20250223_131850_64.ply,113683
occupied_20250223_131831_45.ply,108658
occupied_20250223_131904_78.ply,113608
occupied_20250223_131749_3.ply,102313
occupied_20250223_131938_112.ply,113098
occupied_20250223_131911_85.ply,111373
occupied_20250223_131908_82.ply,124048
occupied_20250223_131939_113.ply,120028
occupied_20250223_131814_28.ply,115228
occupied_20250223_131803_17.ply,130663
occupied_20250223_131936_110.ply,108928
occupied_20250223_131838_52.ply,113128
occupied_20250223_131807_21.ply,105733
occupied_20250223_131917_91.ply,139003
occupied_20250223_131857_71.ply,112183
occupied_20250223_131756_10.ply,91858
occupied_20250223_131819_33.ply,109963
occupied_20250223_131846_60.ply,105178
occupied_20250223_131804_18.ply,131923
occupied_20250223_131914_88.ply,117433
occupied_20250223_131907_81.ply,138823
occupied_20250223_131849_63.ply,105928
occupied_20250223_131943_117.ply,138328
occupied_20250223_131826_40.ply,107998
occupied_20250223_131847_61.ply,102988
occupied_20250223_131809_23.ply,108253
occupied_20250223_131823_37.ply,115543
occupied_20250223_131903_77.ply,119173
occupied_20250223_131851_65.ply,108943
occupied_20250223_131835_49.ply,112843
occupied_20250223_131944_118.ply,136378
occupied_20250223_131834_48.ply,95938
occupied_20250223_131754_8.ply,105373
